Year,Actual value of Production (Rs in lakhs),Y=715.80 + 73.92X (Trend value of production)
1990-91,271.80,86.52
1991-92,304.80,160.44
1992-93,320.40,234.36
1993-94,342.20,308.28
1994-95,364.20,382.20
1995-96,404.20,465.12
1996-97,450.20,530.04
1997-98,496.60,603.96
1998-99,563.20,677.88
1999-00,664.00,751.80
2000-01,750.20,825.72
2001-02,820.40,899.64
2002-03,900.60,973.56
2003-04,981.20,1047.48
2004-05,1050.40,1121.40
2005-06,1166.20,1195.32
2006-07,1262.40,1269.24
2007-08,1366.60,1343.16
2008-09,1431.20,1417.08
2009-10,1865.60,1491.00