Year,Actual Sales (Rs in lakhs),Y = 750.80 + 74.05X (Trend value of Sales)
1990-91,269.80,84.35
1991-92,302.80,158.40
1992-93,320.40,234.45
1993-94,342.20,306.50
1994-95,358.20,380.55
1995-96,404.40,454.60
1996-97,446.20,528.65
1997-98,496.60,602.70
1998-99,563.20,676.75
1999-00,658.60,750.80
2000-01,750.20,824.85
2001-02,820.40,898.90
2002-03,900.60,972.95
2003-04,981.20,1047.00
2004-05,1050.40,1121.05
2005-06,1166.20,1195.10
2006-07,1262.40,1269.15
2007-08,1366.60,1343.20
2008-09,1431.20,1417.25
2009-10,1865.60,1491.30